"","code","pages","name","doc_name","url","mean_nchar","mean_words","mean_kango","mean_wago"
"26",112313,28,"埼玉県桶川市","令和6年度4月保育施設入所のてびき","https://www.city.okegawa.lg.jp/material/files/group/25/r6tebiki.pdf",790.857142857143,484.25,0.390608147296041,0.389159235257649
"27",112321,40,"埼玉県久喜市","令和6年度 保育所等利用手続きのご案内","https://www.city.kuki.lg.jp/kosodate/hoikusho/hoiku/hoikusho_shinsei.files/01_R6annnai2-3gou.pdf",597.35,367.825,0.457726758637553,0.359233068223678
"28",112330,20,"埼玉県北本市","令和6年度北本市保育施設利用案内","https://www.city.kitamoto.lg.jp/material/files/group/24/R6riyouannaidai4ban.pdf",1094,677.25,0.44155707626756,0.382318417688628
"29",112348,30,"埼玉県八潮市","令和6年度　保育のしおり","https://www.city.yashio.lg.jp/kosodate/kosodate/hoikujo/r6_shinsei.files/r6_shiori1012.pdf",987.466666666667,612.4,0.433258193196295,0.398161008262029
"30",112356,82,"埼玉県富士見市","令和6年度保育施設入所案内","https://www.city.fujimi.saitama.jp/kosodate_kyoiku/kosodate_oen/yochien_hoikusho/hoikusho/hoikusyonyusyo/index.files/r6nyuusyoannnai.pdf",752.256097560976,455.30487804878,0.431508636054151,0.337132496785146
"31",112372,28,"埼玉県三郷市","令和6年度保育利用希望申込みのてびき","https://www.city.misato.lg.jp/material/files/group/35/R6teiki.pdf",1100.64285714286,680.678571428571,0.423846194152148,0.3785909546447
"32",112381,30,"埼玉県蓮田市","令和6年度保育所等利用入所申込みの手引き","https://www.city.hasuda.saitama.jp/kodomo/kosodate/hoikuen/nyuen/documents/r6tebikiverr51001.pdf",701.7,436.766666666667,0.415298015176177,0.435707762876726
"33",112399,20,"埼玉県坂戸市","令和6年度 保育所入所等申込みのてびき","https://www.city.kitamoto.lg.jp/material/files/group/24/R6riyouannaidai4ban.pdf",1094,677.25,0.44155707626756,0.382318417688628
"34",112402,31,"埼玉県幸手市","保育施設入所の手引き","https://www.city.satte.lg.jp/material/files/group/40/R6sattehoikusyonyusyonotebiki.pdf",814.516129032258,506.032258064516,0.402882438570417,0.475452021486313
"35",112411,40,"埼玉県鶴ヶ島市","令和6年度用保育所入所のしおり","https://www.city.tsurugashima.lg.jp/data/doc/1662625464_doc_1135_0.pdf",610.35,374.6,0.348679758329582,0.387383841089178
